id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,QAll,P0,P1,P2,P3,P4,Pall,0,M1
2014700045,1,4,5,5,3,5,4,0,0,0,3.86,0,19.0,0,0,0,8.75,0,90
2016700099,4,4,1,3,4,4,2,0,0,0,3.14,0,18.0,0,0,0,8.2894736842,0,91
2016700111,0,6,1,5,3,4,3,0,0,0,3.14,0,0.5,0,0,0,0.2302631579,0,66
2015800018,2,2,5,3,0,4,0,0,0,0,2.29,0,8.0,0,0,0,3.6842105263,0,55
2015800039,3,2,0,0,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,46
2015700033,2,4,5,5,3,4,3,0,0,0,3.71,0,13.0,0,0,0,5.9868421053,0,92
2016700183,2,0,5,5,3,0,0,0,0,0,2.14,0,0,0,0,0,0,0,56
2016700165,5,3,3,5,3,4,2,0,0,0,3.57,0,11.0,0,0,0,5.0657894737,0,62
2016700141,5,4,5,5,3,5,2,0,0,0,4.14,0,14.0,0,0,0,6.4473684211,0,74
2016700138,4,2,5,5,3,5,2,0,0,0,3.71,0,6.0,0,0,0,2.7631578947,0,76
2015700192,4,6,4,5,5,5,2,0,0,0,4.43,0,13.0,0,0,0,5.9868421053,0,83
2016702009,5,2,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,0
2016700051,5,6,4,5,3,5,2,0,0,0,4.29,0,11.5,0,0,0,5.2960526316,0,73
2016700087,4,2,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0,0,46
2016700042,2,4,5,5,3,5,2,0,0,0,3.71,0,13.0,0,0,0,5.9868421053,0,78
2015700213,5,4,5,5,4,4,2,0,0,0,4.14,0,0,0,0,0,0,0,56
2015700162,5,2,3,5,4,4,2,0,0,0,3.57,0,13.5,0,0,0,6.2171052632,0,79
2011400258,4,2,5,5,4,0,2,0,0,0,3.14,0,6.0,0,0,0,2.7631578947,0,83
2012400150,3,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0
2015700159,4,4,0,5,3,0,0,0,0,0,2.29,0,0,0,0,0,0,0,21
2015700168,0,0,5,5,0,4,2,0,0,0,2.29,0,0,0,0,0,0,0,0
2015800003,5,4,5,5,5,5,4,0,0,0,4.71,0,16.0,0,0,0,7.3684210526,0,95
2016700033,2,4,3,5,3,4,2,0,0,0,3.29,0,-1.0,0,0,0,-0.4605263158,0,69
2015700039,3,6,5,5,3,4,2,0,0,0,4.00,0,9.0,0,0,0,4.1447368421,0,79
2016700078,0,2,4,4,4,5,2,0,0,0,3.00,0,16.0,0,0,0,7.3684210526,0,78
2016700147,1,4,4,3,3,4,2,0,0,0,3.00,0,18.0,0,0,0,8.2894736842,0,68
2016700012,2,0,5,5,4,4,2,0,0,0,3.14,0,4.5,0,0,0,2.0723684211,0,35
2014802015,5,5,5,5,5,5,5,0,0,0,5.00,0,18.0,0,0,0,8.2894736842,0,95
2016700156,5,0,0,0,0,0,0,0,0,0,0.71,0,10.0,0,0,0,4.6052631579,0,0
2016700000,2,3,5,5,3,5,2,0,0,0,3.57,0,7.0,0,0,0,3.2236842105,0,49
2015742000,0,2,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0
2016690201,5,3,4,3,4,4,3,0,0,0,3.71,0,11.0,0,0,0,5.0657894737,0,68
2014700042,5,4,3,5,4,5,3,0,0,0,4.14,0,17.0,0,0,0,7.8289473684,0,73
2016700114,2,2,0,3,3,0,2,0,0,0,1.71,0,15.0,0,0,0,6.9078947368,0,68
2016800030,5,4,5,5,4,5,3,0,0,0,4.43,0,18.5,0,0,0,8.5197368421,0,83
2014700201,2,4,5,5,4,5,2,0,0,0,3.86,0,0,0,0,0,0,0,59
2015700216,1,4,2,5,3,4,2,0,0,0,3.00,0,0,0,0,0,0,0,0
2012400207,5,4,4,5,3,5,2,0,0,0,4.00,0,9.0,0,0,0,4.1447368421,0,60
2016700018,4,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0
2016700039,0,4,5,5,3,5,2,0,0,0,3.43,0,2.0,0,0,0,0.9210526316,0,64
2016701117,5,2,0,0,0,0,0,0,0,0,1.00,0,0,0,0,0,0,0,83
2016705051,3,2,5,5,4,0,0,0,0,0,2.71,0,0,0,0,0,0,0,42
