FORMA_NUMARASI	Oyuncu 	MAC	SURE	SAYI	ATIS_2_YUZDE	ATIS_3_YUZDE	SERBEST_ATIS_YUZDE	HUCUM_RIBAUND	SAVUNMA_RIBAUND	TOPLAM_RIBAUND	ASIST	BLOK	TOP_CALMA	TOP_KAYBI	FAUL
2	RICARDO JULIO LEDO 	4	02:04:19 	58	33.3	39.1	93.7	3	22	25	14	0	2	13	9
3	ERRICK LANE MC COLLUM II 	6	03:12:25 	141	58.6	48.1	75.5	5	14	19	23	4	8	6	16
4	DOĞUŞ BALBAY 	6	02:09:29 	27	58.8	20	25	7	11	18	18	2	9	5	11
5	DERRICK PAUL BROWN 	1	00:21:36 	11	50	0	50	0	5	5	2	0	0	3	2
8	BİRKAN BATUK 	3	00:52:10 	2	33.3	0	0	2	3	5	2	0	2	2	8
9	ARDA ERDOĞAN 	1	00:00:36 	3	0	100	0	0	0	0	0	0	0	0	0
10	ONURALP BİTİM 	4	00:21:48 	5	50	100	0	0	1	1	0	0	1	1	2
11	BERK DEMİR 	3	00:21:27 	6	100	0	0	1	3	4	1	0	1	0	5
12	BROCK WILLIAM MOTUM 	6	02:17:58 	64	63.1	30	77.7	5	12	17	6	1	4	4	12
14	JOSHUA TAYLOR ADAMS 	4	01:25:58 	35	66.6	25	83.3	2	9	11	6	1	0	12	13
15	VLADIMIR STIMAC 	6	02:38:10 	80	57.4	0	72	27	30	57	3	4	3	5	16
22	MUHAYMİN MUSTAFA 	2	00:05:23 	0	0	0	0	0	1	1	0	0	0	0	0
42	BRYANT KEVIN DUNSTON JR 	5	02:31:00 	60	78.1	100	40	14	11	25	11	9	4	1	13
44	KRUNOSLAV SIMON 	4	02:02:31 	50	36.8	33.3	80	1	13	14	16	1	7	8	6
